# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1828.0000 M36 612761 2 768.0000 p323 p48 287 N p323->p499->p48
2246.0000 M44 568074 3 933.0000 p108 p435 284 N p108->p47->p85->p435
2272.0000 M24 559729 2 1574.0000 p275 p306 273 N p275->p1->p306
2378.0000 M18 640222 4 1855.0000 p54 p55 269 N p54->p346->p281->p389->p55
2737.0000 M57 601479 3 1030.0000 p63 p392 282 N p63->p388->p452->p392
2758.0000 M15 991397 1 2327.0000 p92 p340 261 N p92->p340
2859.0000 M50 976458 2 1361.0000 p9 p448 277 N p9->p305->p448
2889.0000 M16 875016 3 2425.0000 p181 p399 259 N p181->p109->p242->p399
2954.0000 M58 837610 1 1215.0000 p115 p439 279 N p115->p439
2974.0000 M52 891919 5 1414.0000 p492 p99 276 N p492->p285->p363->p241->p237->p99
3202.0000 M27 707738 3 2417.0000 p458 p484 259 N p458->p173->p65->p484
3291.0000 M55 928171 1 1645.0000 p419 p462 272 N p419->p462
3313.0000 M85 950749 4 783.0000 p385 p384 286 N p385->p376->p449->p31->p384
3444.0000 M78 957377 1 1125.0000 p204 p179 281 N p204->p179
3497.0000 M101 846482 3 494.0000 p47 p432 291 N p47->p264->p341->p432
3918.0000 M39 983915 7 2764.0000 p408 p6 253 N p408->p401->p470->p406->p435->p65->p60->p6
3964.0000 M71 990133 3 1847.0000 p315 p157 269 N p315->p54->p399->p157
4043.0000 M13 693107 5 3664.0000 p173 p343 238 N p173->p330->p375->p204->p71->p343
4139.0000 M14 720934 3 3734.0000 p54 p86 237 N p54->p142->p175->p86
4142.0000 M65 590287 3 2205.0000 p262 p86 263 N p262->p142->p175->p86
4484.0000 M61 874679 5 2658.0000 p82 p47 255 N p82->p130->p106->p248->p74->p47
4928.0000 M46 636051 6 3550.0000 p400 p333 240 N p400->p301->p304->p104->p425->p174->p333
5119.0000 M17 790517 3 4621.0000 p83 p316 222 N p83->p45->p498->p316
5189.0000 M74 925916 2 2990.0000 p113 p81 250 N p113->p410->p81
5200.0000 M169 798916 3 187.0000 p7 p193 296 N p7->p225->p473->p193
5212.0000 M34 844772 4 4205.0000 p396 p69 229 N p396->p258->p313->p0->p69
5317.0000 M128 724055 2 1531.0000 p348 p477 274 N p348->p95->p477
5361.0000 M54 953264 5 3744.0000 p36 p278 237 N p36->p28->p303->p288->p169->p278
5375.0000 M21 519301 5 4766.0000 p440 p0 220 N p440->p435->p370->p331->p165->p0
5378.0000 M60 999278 6 3577.0000 p435 p447 240 N p435->p279->p216->p64->p347->p238->p447
5713.0000 M117 553518 6 2252.0000 p162 p323 262 N p162->p52->p71->p39->p426->p93->p323
5727.0000 M162 739285 1 931.0000 p113 p117 284 N p113->p117
5793.0000 M42 889225 3 4544.0000 p97 p46 224 N p97->p169->p310->p46
5825.0000 M35 998232 11 4790.0000 p175 p315 220 N p175->p84->p346->p385->p392->p22->p387->p8->p385->p218->p206->p315
5981.0000 M75 916248 5 3752.0000 p136 p168 237 N p136->p79->p451->p79->p35->p168
6037.0000 M59 562758 2 4268.0000 p354 p359 228 N p354->p287->p359
6403.0000 M53 883685 6 4817.0000 p464 p96 219 N p464->p493->p38->p83->p325->p118->p96
6478.0000 M114 826370 6 3099.0000 p473 p278 248 N p473->p29->p114->p420->p196->p169->p278
6643.0000 M80 731176 11 4265.0000 p305 p52 228 N p305->p252->p24->p331->p361->p309->p134->p99->p264->p492->p188->p52
6967.0000 M86 985022 7 4406.0000 p446 p17 226 N p446->p338->p237->p423->p390->p135->p362->p17
7154.0000 M76 765606 11 4892.0000 p214 p426 218 N p214->p99->p33->p299->p349->p205->p480->p444->p495->p383->p490->p426
7199.0000 M19 580040 11 6642.0000 p388 p215 189 N p388->p307->p168->p217->p476->p471->p27->p242->p148->p369->p499->p215
7683.0000 M248 624175 2 360.0000 p498 p2 294 N p498->p103->p2
7685.0000 M94 993756 8 4891.0000 p389 p302 218 N p389->p325->p170->p38->p462->p89->p53->p432->p302
7849.0000 M22 854050 10 7209.0000 p226 p375 179 N p226->p191->p38->p170->p148->p462->p89->p53->p432->p179->p375
7912.0000 M144 663690 5 3657.0000 p308 p470 239 N p308->p211->p343->p162->p20->p470
8264.0000 M205 844875 6 2207.0000 p68 p421 263 N p68->p245->p442->p487->p226->p100->p421
8362.0000 M41 838158 4 7146.0000 p162 p296 180 N p162->p52->p158->p162->p296
8392.0000 M251 940773 1 979.0000 p288 p338 283 N p288->p338
8833.0000 M108 564851 11 5626.0000 p88 p204 206 N p88->p205->p312->p183->p485->p354->p362->p17->p467->p85->p375->p204
8906.0000 M102 846401 4 5869.0000 p475 p312 202 N p475->p28->p221->p497->p312
9285.0000 M203 825456 7 3283.0000 p110 p240 245 N p110->p267->p65->p255->p382->p318->p344->p240
9445.0000 M83 623765 6 6975.0000 p443 p178 183 N p443->p109->p394->p382->p156->p491->p178
9884.0000 M82 711477 9 7441.0000 p493 p49 175 N p493->p251->p464->p213->p496->p31->p260->p144->p161->p49
9987.0000 M9 587686 8 9722.0000 p311 p148 137 N p311->p109->p113->p128->p262->p116->p256->p434->p148
10472.0000 M195 517519 6 4689.0000 p478 p26 221 N p478->p90->p462->p99->p80->p145->p26
10522.0000 M345 959440 1 286.0000 p114 p301 295 N p114->p301
10657.0000 M288 719294 2 2148.0000 p57 p209 264 N p57->p128->p209
10802.0000 M104 863634 8 7708.0000 p156 p359 171 N p156->p494->p109->p394->p382->p255->p382->p8->p359
10833.0000 M37 737538 10 9741.0000 p138 p485 137 N p138->p53->p456->p285->p99->p115->p48->p143->p465->p280->p485
11330.0000 M376 502968 1 205.0000 p317 p205 296 N p317->p205
11427.0000 M148 625450 12 7059.0000 p210 p107 182 N p210->p338->p359->p423->p287->p125->p294->p220->p258->p125->p244->p243->p107
11703.0000 M89 502436 13 9054.0000 p43 p44 149 N p43->p169->p282->p310->p135->p456->p277->p474->p183->p21->p499->p370->p195->p44
11725.0000 M392 769232 1 134.0000 p214 p180 297 N p214->p180
11774.0000 M364 733657 3 994.0000 p285 p309 283 N p285->p217->p48->p309
11812.0000 M111 887512 15 8517.0000 p475 p356 158 N p475->p249->p322->p2->p439->p410->p188->p264->p71->p210->p56->p64->p56->p253->p54->p356
11853.0000 M147 807429 13 7511.0000 p345 p356 174 N p345->p461->p296->p223->p90->p331->p435->p408->p435->p141->p5->p316->p446->p356
11858.0000 M281 794410 6 3559.0000 p351 p81 240 N p351->p498->p116->p388->p384->p180->p81
11946.0000 M394 674102 2 292.0000 p244 p199 295 N p244->p356->p199
12109.0000 M132 765115 10 8205.0000 p82 p401 163 N p82->p400->p393->p10->p341->p417->p30->p490->p10->p140->p401
12549.0000 M361 598098 3 1860.0000 p224 p456 269 N p224->p119->p206->p456
12723.0000 M322 624443 7 3196.0000 p192 p57 246 N p192->p293->p278->p456->p294->p258->p414->p57
12921.0000 M306 785380 3 3881.0000 p409 p373 235 N p409->p292->p183->p373
13426.0000 M362 519507 2 2710.0000 p183 p187 254 N p183->p115->p187
13518.0000 M378 937701 5 2336.0000 p439 p448 261 N p439->p412->p93->p106->p143->p448
13819.0000 M463 624731 1 126.0000 p253 p76 297 N p253->p76
14215.0000 M126 512443 8 10491.0000 p43 p16 125 N p43->p199->p19->p119->p19->p455->p320->p239->p16
14405.0000 M477 925977 1 311.0000 p323 p155 294 N p323->p155
