MBM DD,SP DD,MBM Epidemic,SP Epidemic,MBM FC,SP FC,MBM Prophet,SP Prophet,MBM SaW,SP SaW
7545.8836,6446.9042,5630.8994,3049.9617,6110.9819,4787.1730,4369.2105,3358.4502,5817.1280,3090.5146
7181.2743,6575.9881,5341.0483,3249.6890,6211.2197,5053.2500,4519.6965,3421.9383,5783.4345,3065.4753
7419.9078,6258.8466,5040.5847,2971.7080,6130.9850,4784.2702,4332.8934,3070.0158,5720.8486,2916.1999
7040.0450,6407.9159,5199.8507,3605.0554,6173.3526,5144.7255,4575.5946,3236.8514,5715.9666,3122.4190
7555.4170,6574.1858,5507.1302,3321.9072,6422.0694,4670.2518,5196.2410,3501.0043,5868.9854,3123.7003
7201.5410,6515.1079,5434.0729,3469.9788,6769.3388,4996.6649,4652.9614,3511.5240,5672.9312,3196.5393
7147.0042,6767.6887,5850.0054,3213.3013,6239.3757,4789.1281,5113.4404,3078.9283,5579.8717,3094.0881
