DirectDelivery,Epidemic,FirstContact,Prophet,SprayAndWait
5409.8352,2459.7236,3939.7416,2953.4355,2875.5295
5680.3988,2587.5088,4288.7354,3140.7607,2743.4405
5546.4187,3026.8692,4052.2023,2748.3760,2745.7560
5508.7423,3152.2263,4460.2360,3013.7280,3036.1844
5728.1235,2829.8049,3575.4688,3440.5868,2967.9378
5267.7613,3071.1121,4367.4059,2721.6514,2861.6412
5611.1792,2918.6967,4251.3017,2601.0000,2909.0279
