DirectDelivery,Epidemic,FirstContact,Prophet,SprayAndWait
6176.4667,4482.2043,5039.8889,3610.0708,4875.8029
6141.1154,4373.2105,5201.3239,3765.1273,4965.7969
6246.1275,4688.9560,4853.3294,4258.1264,4836.5805
5626.8378,4396.3200,5125.2794,4044.5146,4879.1616
6816.1354,4756.1098,5434.1940,4114.0690,5038.8036
6323.5000,4317.8764,5477.8219,3985.8932,5094.4175
6103.9877,4866.7979,5533.7857,3989.1913,4730.2355
