# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
9789.0000 M217 655368 8 3338.0000 p92 p68 244 N p92->p48->p39->p47->p62->p64->p92->p7->p68
10013.0000 M73 817551 15 7829.0000 p0 p53 169 N p0->p57->p25->p89->p70->p21->p28->p6->p92->p48->p29->p33->p56->p60->p54->p53
10044.0000 M82 985912 15 7592.0000 p96 p65 173 N p96->p52->p58->p20->p10->p48->p13->p10->p13->p50->p55->p69->p4->p48->p1->p65
10211.0000 M305 887427 5 1171.0000 p8 p63 280 N p8->p10->p7->p97->p4->p63
10226.0000 M298 709080 3 1399.0000 p43 p94 276 N p43->p37->p73->p94
10302.0000 M159 998913 8 5563.0000 p32 p31 207 N p32->p21->p90->p36->p91->p41->p84->p41->p31
10347.0000 M316 874593 3 978.0000 p92 p27 283 N p92->p25->p70->p27
10350.0000 M293 803939 2 1677.0000 p51 p44 272 N p51->p90->p44
10865.0000 M336 760188 3 900.0000 p90 p91 285 N p90->p44->p31->p91
10912.0000 M236 844026 4 3899.0000 p6 p97 235 N p6->p29->p33->p55->p97
10942.0000 M328 569290 2 1213.0000 p32 p53 279 N p32->p27->p53
11093.0000 M309 799847 3 1932.0000 p41 p64 267 N p41->p87->p72->p64
11157.0000 M374 786262 1 43.0000 p73 p70 299 N p73->p70
11217.0000 M332 507129 5 1372.0000 p53 p78 277 N p53->p33->p65->p7->p70->p78
11251.0000 M312 599696 4 1999.0000 p15 p4 266 N p15->p50->p32->p27->p4
11307.0000 M284 971618 5 2899.0000 p1 p0 251 N p1->p74->p10->p18->p32->p0
11338.0000 M349 595090 6 977.0000 p54 p56 283 N p54->p73->p60->p7->p65->p28->p56
11345.0000 M215 597150 6 4956.0000 p80 p34 217 N p80->p13->p68->p21->p42->p75->p34
11873.0000 M337 907849 2 1874.0000 p21 p13 268 N p21->p88->p13
12056.0000 M339 812845 8 1990.0000 p97 p11 266 N p97->p33->p65->p7->p0->p42->p70->p54->p11
12075.0000 M369 835522 2 1121.0000 p46 p96 281 N p46->p10->p96
12535.0000 M231 822827 6 5670.0000 p50 p9 205 N p50->p55->p70->p66->p60->p53->p9
12580.0000 M382 939433 4 1225.0000 p80 p65 279 N p80->p0->p62->p15->p65
12583.0000 M418 514234 1 190.0000 p15 p65 296 N p15->p65
12590.0000 M26 546679 23 11833.0000 p67 p2 102 N p67->p7->p74->p46->p92->p86->p8->p62->p13->p10->p95->p56->p96->p95->p31->p95->p45->p62->p48->p94->p33->p62->p70->p2
12679.0000 M398 857534 5 860.0000 p70 p58 285 N p70->p54->p11->p66->p65->p58
12776.0000 M318 521708 17 3357.0000 p52 p78 244 N p52->p95->p58->p28->p42->p82->p33->p23->p60->p33->p53->p62->p94->p0->p62->p70->p15->p78
12805.0000 M393 575325 2 1124.0000 p58 p36 281 N p58->p82->p36
13150.0000 M353 986239 6 2666.0000 p79 p49 255 N p79->p41->p57->p51->p4->p41->p49
13181.0000 M378 695064 5 1952.0000 p94 p59 267 N p94->p63->p48->p60->p0->p59
13242.0000 M300 969156 10 4355.0000 p84 p58 227 N p84->p57->p11->p81->p35->p31->p88->p64->p97->p17->p58
13303.0000 M389 930855 4 1745.0000 p29 p34 270 N p29->p16->p54->p96->p34
13308.0000 M239 580423 12 6204.0000 p42 p16 196 N p42->p94->p61->p91->p87->p91->p54->p80->p24->p68->p41->p57->p16
13503.0000 M366 592389 2 2638.0000 p50 p44 256 N p50->p94->p44
13643.0000 M383 910514 3 2260.0000 p25 p74 262 N p25->p55->p25->p74
14122.0000 M345 547012 15 3877.0000 p82 p51 235 N p82->p95->p28->p63->p80->p0->p62->p55->p65->p55->p49->p90->p55->p21->p48->p51
14285.0000 M22 854050 20 13645.0000 p15 p12 72 N p15->p11->p83->p23->p48->p40->p50->p55->p45->p69->p80->p10->p28->p52->p28->p71->p1->p9->p60->p26->p12
14295.0000 M329 888857 7 4540.0000 p37 p0 224 N p37->p68->p78->p1->p15->p85->p14->p0
14430.0000 M439 940579 1 1419.0000 p71 p83 276 N p71->p83
14594.0000 M443 559077 3 1465.0000 p77 p19 275 N p77->p13->p8->p19
14788.0000 M413 802148 7 2544.0000 p74 p78 257 N p74->p56->p95->p43->p92->p19->p92->p78
15078.0000 M299 574264 3 6220.0000 p14 p33 196 N p14->p91->p29->p33
15237.0000 M407 510209 11 3164.0000 p41 p6 247 N p41->p27->p7->p68->p81->p10->p61->p60->p4->p44->p92->p6
15255.0000 M486 761773 1 888.0000 p69 p51 285 N p69->p51
15488.0000 M506 534720 3 526.0000 p28 p38 291 N p28->p61->p93->p38
15741.0000 M432 749271 10 2929.0000 p41 p29 251 N p41->p49->p3->p61->p10->p8->p55->p12->p19->p31->p29
15835.0000 M360 642262 6 5150.0000 p51 p40 214 N p51->p53->p58->p70->p46->p66->p40
15876.0000 M457 617520 7 2340.0000 p22 p77 261 N p22->p44->p80->p33->p68->p12->p33->p77
15934.0000 M509 978148 3 888.0000 p89 p16 285 N p89->p67->p0->p16
16068.0000 M238 626897 10 8998.0000 p68 p49 150 N p68->p59->p67->p38->p50->p94->p29->p85->p56->p75->p49
16083.0000 M274 520510 27 7957.0000 p81 p4 167 N p81->p9->p14->p20->p83->p9->p99->p20->p81->p35->p31->p11->p83->p54->p45->p2->p23->p66->p48->p18->p72->p59->p12->p19->p58->p35->p17->p4
16110.0000 M475 831239 4 2067.0000 p59 p8 265 N p59->p12->p19->p41->p8
16195.0000 M527 684338 4 629.0000 p82 p79 289 N p82->p35->p93->p47->p79
16251.0000 M532 626763 1 547.0000 p78 p88 290 N p78->p88
16264.0000 M317 550735 17 6870.0000 p5 p71 185 N p5->p45->p1->p53->p33->p65->p7->p24->p73->p78->p7->p68->p81->p10->p31->p4->p81->p71
16411.0000 M492 734563 1 1862.0000 p25 p20 268 N p25->p20
16432.0000 M546 611808 1 310.0000 p28 p33 294 N p28->p33
16625.0000 M307 904189 11 7523.0000 p84 p40 174 N p84->p41->p31->p5->p74->p89->p79->p56->p63->p85->p98->p40
16699.0000 M471 659448 3 2772.0000 p96 p48 253 N p96->p94->p95->p48
17298.0000 M565 856463 2 600.0000 p93 p46 290 N p93->p36->p46
17316.0000 M473 615716 6 3325.0000 p98 p26 244 N p98->p77->p44->p60->p33->p28->p26
17446.0000 M394 809108 8 5738.0000 p33 p89 204 N p33->p1->p21->p45->p18->p93->p60->p71->p89
17747.0000 M400 576531 3 5870.0000 p26 p42 202 N p26->p8->p30->p42
18147.0000 M539 725861 2 2242.0000 p97 p95 262 N p97->p39->p95
18358.0000 M525 965714 1 2846.0000 p83 p49 252 N p83->p49
18413.0000 M463 844437 8 4708.0000 p92 p74 221 N p92->p35->p19->p7->p62->p88->p18->p29->p74
18425.0000 M548 635705 6 2244.0000 p40 p65 262 N p40->p85->p14->p59->p62->p78->p65
18536.0000 M569 560621 4 1722.0000 p82 p79 271 N p82->p28->p18->p86->p79
18597.0000 M613 659960 1 471.0000 p46 p37 292 N p46->p37
18633.0000 M517 636776 7 3354.0000 p46 p53 244 N p46->p66->p72->p35->p87->p62->p9->p53
18729.0000 M608 803464 2 751.0000 p82 p35 287 N p82->p15->p35
19077.0000 M579 771913 9 1974.0000 p62 p10 267 N p62->p88->p92->p29->p34->p50->p2->p34->p2->p10
19148.0000 M630 650414 3 504.0000 p71 p26 291 N p71->p8->p10->p26
19232.0000 M634 742634 1 464.0000 p13 p2 292 N p13->p2
19313.0000 M648 692589 2 136.0000 p13 p26 297 N p13->p59->p26
19319.0000 M625 651662 5 839.0000 p82 p44 286 N p82->p43->p46->p39->p71->p44
19423.0000 M595 723701 3 1844.0000 p67 p87 269 N p67->p50->p79->p87
19426.0000 M637 535856 2 573.0000 p73 p57 290 N p73->p66->p57
19430.0000 M505 884710 2 4501.0000 p87 p66 224 N p87->p57->p66
19532.0000 M464 703438 12 5800.0000 p15 p39 203 N p15->p38->p10->p49->p21->p7->p27->p90->p66->p41->p24->p35->p39
19562.0000 M514 602468 12 4368.0000 p49 p30 227 N p49->p68->p75->p27->p69->p21->p37->p66->p71->p87->p89->p86->p30
19677.0000 M606 532037 1 1753.0000 p58 p40 270 N p58->p40
19837.0000 M351 526550 24 9416.0000 p57 p63 143 N p57->p79->p41->p57->p27->p7->p68->p16->p10->p8->p64->p13->p9->p59->p38->p59->p14->p35->p14->p62->p78->p99->p85->p34->p63
19985.0000 M640 934384 2 1041.0000 p26 p47 282 N p26->p60->p47
20441.0000 M647 872747 5 1292.0000 p82 p43 278 N p82->p94->p2->p32->p1->p43
20506.0000 M681 822790 1 339.0000 p76 p14 294 N p76->p14
20758.0000 M623 547758 7 2332.0000 p32 p76 261 N p32->p73->p53->p5->p31->p57->p74->p76
20775.0000 M646 928664 6 1652.0000 p4 p20 272 N p4->p47->p97->p22->p46->p57->p20
20826.0000 M572 537665 5 3925.0000 p93 p85 234 N p93->p79->p24->p37->p62->p85
20943.0000 M622 549892 7 2547.0000 p57 p76 257 N p57->p82->p66->p91->p66->p84->p35->p76
20954.0000 M522 989074 9 5530.0000 p15 p11 207 N p15->p41->p44->p4->p40->p22->p28->p46->p57->p11
20969.0000 M704 754957 1 124.0000 p84 p39 297 N p84->p39
20998.0000 M635 849891 10 2201.0000 p87 p96 263 N p87->p34->p2->p31->p20->p59->p51->p88->p49->p70->p96
21414.0000 M673 726510 9 1489.0000 p89 p50 275 N p89->p20->p10->p29->p79->p60->p45->p57->p89->p50
