MBM Epidemic,SP Epidemic,MBM FC,SP FC,MBM Prophet,SP Prophet,MBM SaW,SP SaW
317.3529,591.8400,268.1500,211.9016,171.1311,516.5811,22.8919,7.8036
390.8140,766.8065,268.6842,185.6522,186.1864,471.6250,23.4110,7.3602
373.2444,617.3291,292.8889,168.9865,200.2549,487.6790,26.8730,7.1189
283.2241,676.2576,162.2903,210.3871,162.8939,548.1892,20.3214,7.3771
463.7568,643.5507,225.9167,196.0308,234.8298,429.9670,22.6800,7.3924
354.0652,625.6761,248.4000,200.9032,186.7966,481.0267,22.1974,7.2803
352.6596,564.5443,213.1250,212.0625,149.7353,489.7882,22.7027,7.2282
