MBM Epidemic,SP Epidemic,MBM FC,SP FC,MBM Prophet,SP Prophet,MBM SaW,SP SaW
461.9529,714.9103,213.0833,165.6313,296.6442,631.3813,17.7626,6.5365
434.5000,852.7891,196.0921,173.2694,278.6667,627.8214,17.4428,6.3363
430.4778,675.6894,172.8023,165.9133,292.6863,648.0929,18.9839,6.3596
413.7684,765.9926,190.0909,184.9297,247.6094,619.8986,16.9903,6.3274
499.3000,793.4419,183.4625,171.5000,308.7745,572.4167,17.0631,6.3145
408.5638,733.5563,235.1967,195.3392,280.6881,600.1234,17.8434,6.3037
411.5957,663.6883,187.5333,195.5233,262.0517,621.9073,18.0825,6.3968
