DirectDelivery,Epidemic,FirstContact,Prophet,SprayAndWait
0.1442,0.1277,0.0989,0.1552,0.3764
0.1429,0.1305,0.0975,0.1511,0.3585
0.1401,0.1250,0.1168,0.1195,0.3668
0.1525,0.1374,0.0934,0.1415,0.4080
0.1319,0.1126,0.0920,0.1195,0.3777
0.1429,0.1223,0.1003,0.1415,0.3915
0.1113,0.1291,0.1154,0.1580,0.3791
