MBM DD,SP DD,MBM Epidemic,SP Epidemic,MBM FC,SP FC,MBM Prophet,SP Prophet,MBM SaW,SP SaW
0.1882,0.5859,0.1225,0.1786,0.1136,0.2888,0.1431,0.1581,0.4545,0.9138
0.1971,0.5743,0.1417,0.1739,0.1184,0.3121,0.1376,0.1554,0.4600,0.9144
0.1930,0.5756,0.1253,0.1711,0.1369,0.2964,0.1348,0.1732,0.4476,0.9179
0.1978,0.5695,0.1376,0.1855,0.1300,0.2444,0.1520,0.1704,0.4914,0.9165
0.1773,0.5784,0.1314,0.1622,0.1184,0.2827,0.1335,0.1602,0.4695,0.9227
0.1834,0.5517,0.1314,0.1615,0.1253,0.2533,0.1417,0.1567,0.4579,0.9151
0.1636,0.5804,0.1259,0.1636,0.1239,0.2724,0.1492,0.1718,0.4641,0.9008
