DirectDelivery,Epidemic,FirstContact,Prophet,SprayAndWait
0.5859,0.1786,0.2888,0.1581,0.9138
0.5743,0.1739,0.3121,0.1554,0.9144
0.5756,0.1711,0.2964,0.1732,0.9179
0.5695,0.1855,0.2444,0.1704,0.9165
0.5784,0.1622,0.2827,0.1602,0.9227
0.5517,0.1615,0.2533,0.1567,0.9151
0.5804,0.1636,0.2724,0.1718,0.9008
