MBM DD,SP DD,MBM Epidemic,SP Epidemic,MBM FC,SP FC,MBM Prophet,SP Prophet,MBM SaW,SP SaW
0.1442,0.4835,0.1277,0.1690,0.0989,0.2445,0.1552,0.1703,0.3764,0.8379
0.1429,0.4615,0.1305,0.1566,0.0975,0.2596,0.1511,0.1607,0.3585,0.8201
0.1401,0.4986,0.1250,0.1786,0.1168,0.2376,0.1195,0.1717,0.3668,0.8613
0.1525,0.4478,0.1374,0.1882,0.0934,0.2212,0.1415,0.1717,0.4080,0.8118
0.1319,0.4451,0.1126,0.1690,0.0920,0.2637,0.1195,0.1662,0.3777,0.8393
0.1429,0.4547,0.1223,0.1593,0.1003,0.2335,0.1415,0.1497,0.3915,0.8462
0.1113,0.4753,0.1291,0.1676,0.1154,0.2459,0.1580,0.1690,0.3791,0.8379
