DirectDelivery,Epidemic,FirstContact,Prophet,SprayAndWait
0.0615,0.1201,0.0615,0.1788,0.2430
0.0894,0.1313,0.0587,0.1732,0.2402
0.0810,0.1117,0.0670,0.1564,0.2402
0.0754,0.1201,0.0531,0.1453,0.2123
0.0615,0.1145,0.0670,0.1397,0.2318
0.0782,0.1369,0.0559,0.1480,0.2570
0.0559,0.1285,0.0615,0.1648,0.2570
