DirectDelivery,Epidemic,FirstContact,Prophet,SprayAndWait
0.4835,0.1690,0.2445,0.1703,0.8379
0.4615,0.1566,0.2596,0.1607,0.8201
0.4986,0.1786,0.2376,0.1717,0.8613
0.4478,0.1882,0.2212,0.1717,0.8118
0.4451,0.1690,0.2637,0.1662,0.8393
0.4547,0.1593,0.2335,0.1497,0.8462
0.4753,0.1676,0.2459,0.1690,0.8379
