MBM DD,SP DD,MBM Epidemic,SP Epidemic,MBM FC,SP FC, MBM Prophet,SP Prophet,MBM SaW,SP SaW
6148.1992,5798.7719,4241.8083,2938.4228,3782.2923,4136.9468,5151.3719,3314.6564,2855.6324,2055.4597
6380.2868,5804.0503,4551.7783,2837.2143,4560.6866,4187.6601,5465.2669,3048.2184,2856.5496,2069.7059
6351.7764,6061.4580,4350.9944,2966.7785,4460.1097,4067.9796,5360.2418,3123.0840,2650.4138,1986.6358
6398.1923,5867.3226,4368.2917,2868.9428,4245.6899,3858.0932,5431.1784,3193.7647,2582.6163,2063.4929
7001.5688,5715.8468,4430.0745,2880.1228,4942.2555,4108.9118,5243.7212,3118.4403,2764.4222,2031.5066
5773.5702,5950.3997,4383.0054,2963.7183,4556.0000,4310.9190,4884.5702,3523.9074,2674.5513,2169.3609
5979.0365,5952.5909,4335.0457,2836.9613,4833.6993,4353.8062,5434.2451,3252.6050,3036.6680,2184.5119
