MBM Epidemic,SP Epidemic,MBM FC,SP FC,MBM Prophet,SP Prophet,MBM SaW,SP SaW
61.4057,118.8889,73.0172,56.7717,36.3252,105.1950,23.5344,8.5520
64.4894,118.8065,65.8710,66.9542,34.3760,89.2905,21.2324,9.2922
76.6706,124.0130,61.0704,54.5053,42.0360,86.5707,23.8016,8.6466
84.7595,110.0060,69.5397,53.0412,41.1636,88.4862,27.6182,8.7570
65.7423,114.2256,65.2381,60.1462,34.3529,91.3187,25.2917,8.8696
69.1702,109.8447,62.3676,68.0816,37.1947,84.7706,25.7458,9.5041
64.7423,119.1544,61.7727,59.5412,38.5182,93.4034,25.5750,8.8776
