MBM Epidemic,SP Epidemic,MBM FC,SP FC,MBM Prophet,SP Prophet,MBM SaW,SP SaW
58.9792,114.2911,83.4762,65.7391,26.4528,95.0256,26.1273,9.3204
61.5682,114.9155,70.6250,87.4118,26.9811,76.0455,20.1912,10.1768
70.9773,124.9385,65.6296,54.0779,32.1818,76.5233,25.1818,9.5789
66.9070,93.8537,58.2424,64.7761,30.6078,69.3226,29.2857,9.9341
64.1818,89.0222,74.3478,64.4242,25.2800,67.8969,28.4000,9.8095
56.0213,103.5067,49.0286,74.3390,24.3519,76.0897,24.6207,10.1747
75.8919,126.9048,74.5455,68.7692,26.0930,82.2674,26.3269,9.7919
