# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
347.0000 M8 913877 1 114.0000 p6 p9 298 N p6->p9
2131.0000 M54 953264 1 514.0000 p73 p36 291 N p73->p36
2367.0000 M76 892737 1 95.0000 p67 p98 298 N p67->p98
2408.0000 M71 769870 1 282.0000 p98 p0 295 N p98->p0
2823.0000 M26 546679 2 2066.0000 p67 p2 265 N p67->p71->p2
3119.0000 M21 519301 2 2510.0000 p45 p27 258 N p45->p86->p27
3663.0000 M87 990325 1 1068.0000 p13 p49 282 N p13->p49
3788.0000 M66 762094 2 1813.0000 p35 p76 269 N p35->p8->p76
3877.0000 M59 720977 2 2108.0000 p89 p82 264 N p89->p50->p82
4202.0000 M46 636051 2 2824.0000 p4 p40 252 N p4->p70->p40
4275.0000 M16 875016 3 3811.0000 p73 p0 236 N p73->p83->p2->p0
4624.0000 M125 524397 2 886.0000 p81 p56 285 N p81->p44->p56
5057.0000 M122 809157 1 1411.0000 p81 p60 276 N p81->p60
5076.0000 M67 922010 2 3076.0000 p26 p11 248 N p26->p62->p11
5139.0000 M111 916898 1 1812.0000 p78 p74 269 N p78->p74
5517.0000 M135 549781 1 1488.0000 p40 p88 275 N p40->p88
5606.0000 M146 758878 1 1245.0000 p44 p81 279 N p44->p81
5669.0000 M129 936232 1 1814.0000 p76 p6 269 N p76->p6
5680.0000 M158 640674 1 968.0000 p45 p90 283 N p45->p90
6025.0000 M57 601479 4 4318.0000 p72 p81 228 N p72->p48->p23->p50->p81
6097.0000 M28 627290 2 5279.0000 p71 p21 212 N p71->p98->p21
6130.0000 M140 841472 1 1955.0000 p69 p21 267 N p69->p21
6524.0000 M218 590908 1 45.0000 p62 p23 299 N p62->p23
6663.0000 M62 745934 1 4806.0000 p18 p91 219 N p18->p91
6849.0000 M143 941589 1 2582.0000 p60 p50 256 N p60->p50
7316.0000 M39 983915 2 6162.0000 p78 p23 197 N p78->p50->p23
7360.0000 M98 727857 3 4420.0000 p21 p37 226 N p21->p98->p77->p37
7379.0000 M60 686270 3 5576.0000 p8 p10 207 N p8->p35->p82->p10
7385.0000 M131 880310 1 3468.0000 p78 p5 242 N p78->p5
7443.0000 M202 769146 1 1426.0000 p60 p16 276 N p60->p16
7771.0000 M113 617434 1 4390.0000 p93 p54 226 N p93->p54
8281.0000 M141 527742 3 4076.0000 p67 p17 232 N p67->p80->p9->p17
8333.0000 M78 861599 2 5999.0000 p18 p34 200 N p18->p93->p34
8556.0000 M116 826284 3 5083.0000 p72 p44 215 N p72->p5->p78->p44
8734.0000 M102 825032 2 5678.0000 p64 p88 205 N p64->p97->p88
8739.0000 M288 997845 1 212.0000 p7 p12 296 N p7->p12
8932.0000 M199 567634 3 2999.0000 p12 p79 250 N p12->p61->p10->p79
8971.0000 M23 555510 5 8302.0000 p45 p78 161 N p45->p55->p27->p90->p74->p78
9169.0000 M212 900145 2 2871.0000 p7 p87 252 N p7->p1->p87
9240.0000 M27 707738 3 8455.0000 p53 p50 159 N p53->p97->p18->p50
9544.0000 M38 698725 2 8423.0000 p39 p40 159 N p39->p58->p40
9617.0000 M309 799847 1 456.0000 p41 p64 292 N p41->p64
9726.0000 M279 668070 1 1451.0000 p98 p18 275 N p98->p18
9912.0000 M230 670367 2 3078.0000 p70 p66 248 N p70->p28->p66
9993.0000 M201 902705 3 4002.0000 p93 p57 233 N p93->p96->p88->p57
10138.0000 M177 669688 4 4862.0000 p90 p55 218 N p90->p27->p38->p81->p55
10155.0000 M262 924477 1 2367.0000 p65 p0 260 N p65->p0
10193.0000 M298 709080 1 1366.0000 p43 p94 277 N p43->p94
10275.0000 M296 529544 3 1515.0000 p34 p87 274 N p34->p8->p9->p87
10317.0000 M64 679024 3 8400.0000 p61 p16 160 N p61->p31->p54->p16
10382.0000 M184 753114 4 4905.0000 p81 p24 218 N p81->p44->p56->p62->p24
10474.0000 M25 982211 6 9744.0000 p52 p8 137 N p52->p57->p73->p35->p61->p79->p8
