MBM Epidemic,SP Epidemic,MBM FC,SP FC,MBM Prophet,SP Prophet,MBM SaW,SP SaW
1880.0056,3117.4023,469.2289,357.7986,1328.0048,2862.9870,10.9051,5.4330
1641.4541,3233.8780,450.3815,328.8750,1356.1443,3006.0749,10.7887,5.4304
1777.9672,3269.1680,385.3850,351.0808,1443.9391,2771.8340,11.0719,5.4139
1704.2040,3035.9446,409.3684,425.3557,1239.3423,2688.5261,10.0891,5.4264
1723.4375,3415.1772,444.4046,361.5036,1430.9333,2905.4103,10.5627,5.3939
1742.9271,3379.1102,422.5847,406.8270,1291.0483,2876.2227,10.8206,5.4323
1831.7717,3396.7364,437.2486,380.8040,1241.5046,2763.8566,10.6962,5.5038
