DirectDelivery,Epidemic,FirstContact,Prophet,SprayAndWait
0.0000,3025.0163,377.2472,2386.4435,5.8918
0.0000,3278.6754,353.5979,2631.0256,6.0469
0.0000,2787.0154,396.5665,2575.6400,5.7448
0.0000,2761.2336,418.3727,2460.6880,6.0998
0.0000,2940.0000,338.7500,2619.9504,5.9100
0.0000,3097.1034,389.8294,2656.1284,5.8328
0.0000,3003.8033,378.0670,2648.5285,5.9000
