MBM Epidemic,SP Epidemic,MBM FC,SP FC,MBM Prophet,SP Prophet,MBM SaW,SP SaW
1502.5349,2064.5256,474.6818,419.8254,768.5625,2019.9538,20.0920,7.1700
1384.7660,2274.0580,518.5714,415.9833,745.2419,2294.9123,20.3488,6.8661
1521.9500,2522.1017,433.1250,378.1176,847.6429,2183.5397,20.2674,6.9442
1454.7442,2128.8961,575.1579,443.6610,899.5962,1973.2647,22.9868,7.3708
1456.4390,2120.2319,446.0833,338.3944,977.5600,2106.1587,21.1687,7.1504
1221.5306,2326.5313,526.9500,407.2419,831.1132,2022.4167,18.9565,7.3485
1435.0217,2364.7231,485.2727,390.5821,795.0000,2182.1045,18.9457,7.2541
