DirectDelivery,Epidemic,FirstContact,Prophet,SprayAndWait
0.0000,1502.5349,474.6818,768.5625,20.0920
0.0000,1384.7660,518.5714,745.2419,20.3488
0.0000,1521.9500,433.1250,847.6429,20.2674
0.0000,1454.7442,575.1579,899.5962,22.9868
0.0000,1456.4390,446.0833,977.5600,21.1687
0.0000,1221.5306,526.9500,831.1132,18.9565
0.0000,1435.0217,485.2727,795.0000,18.9457
