MBM DD,SP DD,MBM Epidemic,SP Epidemic,MBM FC,SP FC,MBM Prophet,SP Prophet,MBM SaW,SP SaW
0.1624,0.5038,0.1328,0.2230,0.0895,0.2588,0.1666,0.2244,0.1872,0.5719
0.1776,0.5058,0.1397,0.2120,0.0922,0.2429,0.1727,0.2395,0.1803,0.5616
0.1693,0.5079,0.1232,0.2237,0.1067,0.2698,0.1679,0.2540,0.1796,0.5575
0.1610,0.5120,0.1156,0.2285,0.1087,0.2732,0.1659,0.2574,0.1686,0.5781
0.1500,0.5299,0.1294,0.2299,0.0943,0.2498,0.1555,0.2423,0.1549,0.5719
0.1617,0.5045,0.1273,0.2223,0.1032,0.2209,0.1569,0.2230,0.1810,0.5416
0.1507,0.5416,0.1204,0.2134,0.0984,0.2450,0.1741,0.2457,0.1783,0.5767
